Player,Market_Value,Club,Passes,Big Chances Missed,Clearence,Tackles,Goals,Shots,Assists,Touches,Position
Claudio Bravo,10.2,Manchester City,664,0,18,0,0,0,0,830,Goalkeeper
Willy Caballero,1.7,Manchester City,391,0,15,0,0,0,0,532,Goalkeeper
John Stones,29.75,Manchester City,1464,3,115,26,0,13,0,1763,Defender
Vincent Kompany,21.25,Manchester City,557,0,42,15,3,9,0,667,Defender
Aleksandar Kolarov,9.35,Manchester City,1859,0,155,47,1,32,1,2418,Defender
Pablo Zabaleta,6.8,Manchester City,573,0,42,41,1,7,1,898,Defender
Bacary Sagna,4.25,Manchester City,832,0,48,23,0,4,1,1116,Defender
Fernando,11.05,Manchester City,370,0,32,21,0,0,0,483,Midfielder
Fernandinho,21.25,Manchester City,2180,4,60,82,2,36,1,2732,Midfielder
Fabian Delph,6.8,Manchester City,0,0,4,7,1,6,0,270,Midfielder
Kevin De Bruyne,55.25,Manchester City,1801,3,8,50,6,86,18,2586,Midfielder
David Silva,25.5,Manchester City,2075,4,21,43,4,48,7,2648,Midfielder
Raheem Sterling,38.25,Manchester City,1033,5,3,24,7,64,7,1650,Forward
Nolito,15.3,Manchester City,391,3,4,14,4,32,2,546,Forward
Gabriel Jesus,21.25,Manchester City,0,3,0,0,7,24,4,357,Forward
Kelechi Iheanacho,8.5,Manchester City,0,3,0,6,4,22,3,296,Forward
David de Gea,34,Manchester United,849,0,11,0,0,0,0,1079,Goalkeeper
Eric Bailly,21.25,Manchester United,876,1,126,60,0,6,0,1273,Defender
Chris Smalling,17,Manchester United,464,0,126,12,1,7,1,656,Defender
Marcos Rojo,16.15,Manchester United,951,0,143,29,1,14,0,1260,Defender
Phil Jones,11.9,Manchester United,791,0,138,34,0,3,0,1059,Defender
Daley Blind,18.7,Manchester United,1040,0,108,45,1,9,2,1566,Defender
Luke Shaw,17,Manchester United,382,0,27,12,0,6,1,565,Defender
Matteo Darmian,10.2,Manchester United,595,0,71,42,0,2,0,993,Defender
Antonio Valencia,6.8,Manchester United,1370,1,58,67,1,9,3,2157,Defender
Michael Carrick,1.7,Manchester United,1263,0,37,26,0,8,0,1460,Midfielder
Paul Pogba,68,Manchester United,2178,5,42,53,5,92,4,2841,Midfielder
Ander Herrera,23.8,Manchester United,2089,1,51,84,1,38,6,2607,Midfielder
Marouane Fellaini,10.2,Manchester United,1057,2,52,55,1,23,0,1365,Midfielder
Ashley Young,5.95,Manchester United,429,0,25,18,0,5,1,675,Midfielder
