,Season,Player,Market_Value,Position,Passes,Big Chance Missed,Clearence,CleanSheet,Tackles,Goals,Shoots,Assists,Touches,Minutes
0,2016,Aleksandar Kolarov,9.35,Defender,1859.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,2418.0,0.0
1,2016,Fernandinho,21.25,Midfielder,2180.0,4.0,0.0,0.0,82.0,0.0,0.0,0.0,2732.0,0.0
2,2016,Kevin De Bruyne,55.25,Midfielder,1801.0,3.0,0.0,0.0,0.0,6.0,86.0,18.0,2586.0,0.0
3,2016,David Silva,25.5,Midfielder,2075.0,4.0,0.0,0.0,0.0,0.0,48.0,7.0,2648.0,0.0
4,2015,Aleksandar Kolarov,9.35,Defender,1361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2164.0,0.0
5,2015,Bacary Sagna,5.95,Defender,1587.0,0.0,99.0,11.0,0.0,0.0,0.0,0.0,2296.0,0.0
6,2015,Fernandinho,23.8,Midfielder,1872.0,0.0,0.0,13.0,105.0,0.0,0.0,0.0,2344.0,0.0
7,2014,Pablo Zabaleta,16.15,Defender,0.0,0.0,0.0,11.0,106.0,0.0,0.0,0.0,2157.0,0.0
8,2014,Fernandinho,27.2,Midfielder,1734.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,2154.0,0.0
9,2014,David Silva,34.0,Midfielder,2146.0,0.0,0.0,0.0,0.0,12.0,66.0,7.0,2673.0,0.0
10,2013,Pablo Zabaleta,13.6,Defender,1633.0,0.0,0.0,15.0,120.0,0.0,0.0,6.0,2459.0,0.0
11,2013,Fernandinho,27.2,Midfielder,1681.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,2116.0,0.0
12,2013,David Silva,37.4,Midfielder,1869.0,0.0,0.0,0.0,0.0,7.0,53.0,9.0,2328.0,0.0
13,2013,Samir Nasri,17.85,0,1899.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2519.0,0.0
14,2012,Pablo Zabaleta,12.33,Defender,1307.0,0.0,0.0,11.0,113.0,0.0,0.0,0.0,2072.0,0.0
15,2012,Gareth Barry,8.5,0,1823.0,0.0,0.0,14.0,64.0,0.0,0.0,0.0,2155.0,0.0
16,2012,David Silva,42.5,Midfielder,1824.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2348.0,0.0
17,2011,Joleon Lescott,11.05,0,1419.0,0.0,157.0,14.0,0.0,0.0,0.0,0.0,1782.0,0.0
18,2011,Gareth Barry,14.45,0,2188.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2610.0,0.0
19,2011,David Silva,27.2,Midfielder,2020.0,0.0,0.0,0.0,0.0,6.0,87.0,15.0,2604.0,0.0
20,2011,Emmanuel Adebayor,14.45,0,0.0,0.0,0.0,11.0,0.0,17.0,100.0,11.0,1681.0,0.0
21,2011,Emmanuel Adebayor,14.45,0,0.0,0.0,0.0,11.0,0.0,17.0,100.0,11.0,1681.0,0.0
22,2016,David de Gea,34.0,Goalkeeper,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3150.0
